Project Name,Owner,Developer,Address,Zip Code,Council District,Kirwan Opportunity Index,Distance to Bus Stop,Total Units,Total Affordable Units,Unit Type,Program,Housing Type,Status,Affordability Start Date,Affordability Period,Affordability Expiration Date,Certification Date,C of O Date,Required Amount of Fee in Lieu,Date Fee in Lieu Received,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Units <= 100% MFI,Market Rate Units,City Funded Amount, of Funds Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/3/2012 0:00,10,10/3/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2947713082721, -97.646600546557707)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/20/2012 0:00,10,3/20/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.294492047939102, -97.6464845213508)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/20/2014 0:00,10,6/20/2024 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.294546877004699, -97.647956287929205)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/22/2014 0:00,10,7/22/2024 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.294362031916599, -97.646603699239705)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/26/2012 0:00,10,7/26/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2949075213409, -97.647290077249494)"
Retreat at North Bluff,"VILLAGE ON LITTLE TEXAS, LLC",Austin Housing Finance Corporation,6212 Crow Lane,78745,2,Very Low,1/4 Mile,240,240,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,8/18/2009 0:00,99,8/18/2008 0:00,11/26/2008,2/25/2011,,,24,0,26,0,0,190,0,0,2940000,667.76,No,No,No,No,No,No,Yes,No,No,No,"(30.200676191504201, -97.772532928959606)"
Anderson Community Development Corporation - SF,Anderson Community Development Corporation,Anderson Community Development Corporation,Undisclosed,78702,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/27/2012 0:00,20,9/27/2032 0:00,,,,,0,0,0,0,0,1,0,0,136313,0,No,No,No,No,No,No,Yes,No,No,No,"(30.269816755272, -97.727576459392495)"
9215 Kempler Drive,Accessible Housing Austin!,Accessible Housing Austin!,9215 Kempler Drive,78748,5,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,4/22/2016 0:00,99,4/22/2015 0:00,,,,,2,0,0,0,0,0,0,0,220880,94.93,No,No,No,No,No,No,No,No,No,No,"(30.180652347617599, -97.821501988397202)"
2106 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2106 Chicon Street,78722,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,12/1/2014 0:00,99,12/1/2013 0:00,,,,,0,0,1,0,0,0,0,0,12850,0,No,No,No,No,No,No,No,No,No,No,"(30.282412839830801, -97.722010728160001)"
2004 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2004 Chicon Street,78722,1,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,2/27/2014 0:00,99,2/27/2013 0:00,,,,,0,0,2,0,0,0,0,0,12850,0,No,No,No,No,No,No,No,No,No,No,"(30.281151956440699, -97.721815879708501)"
2112 E 8th Street,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,2112 E 8th Street,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,2/20/2009 0:00,99,2/20/2008 0:00,11/17/2008,8/19/2016,,,0,0,1,0,0,0,0,0,257105,54.38,No,No,No,No,No,No,Yes,No,No,No,"(30.262819628827099, -97.718184673048995)"
Cross Creek Apartments,TMG - TX Austin II,"The Muholland Group, LLC",1124 Rutland Drive,78758,4,Very Low,1/4 Mile,200,200,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,7/1/2014 0:00,40,7/1/1954 0:00,1/31/2014,,,,20,0,0,180,0,0,0,0,2000000,956.57,No,No,No,No,No,No,Yes,No,No,No,"(30.368711351997099, -97.703720401279398)"
Skyline Terrace,"Foundation Communities, Inc.","Foundation Communities, Inc.",1212 W Ben White Boulevard,78704,5,Low,1/4 Mile,100,100,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,6/27/2008 0:00,40,6/27/2048 0:00,,,,,0,0,100,0,0,0,0,0,3516850,206.24,No,No,No,No,No,No,No,No,No,No,"(30.228236126783798, -97.778178120265196)"
Homestead Oaks,"Foundation Communities, Inc.","Foundation Communities, Inc.",3226 W Slaughter Lane,78748,5,Moderate,Neither,140,126,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,9/6/2013 0:00,40,9/6/1953 0:00,2/13/2013,3/18/2016,,,14,0,70,42,0,0,0,14,3250000,711.88,No,No,No,No,No,No,Yes,No,No,No,"(30.181532089830899, -97.844720088684696)"
Capital Studios,"Foundation Communities, Inc.","Foundation Communities, Inc.",309 E 11th Street,78701,1,High,1/4 Mile,135,135,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,12/30/2014 0:00,40,12/30/1954 0:00,7/31/2012,12/30/2014,,,27,27,81,0,0,0,0,0,4660000,322.17,No,No,No,No,No,No,Yes,No,No,No,"(30.271752180156799, -97.738085783688305)"
Bluebonnet Studios SRO,"Foundation Communities, Inc.","Foundation Communities, Inc.",2301 S Lamar Boulevard,78704,5,Moderate,1/4 Mile,107,107,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,8/29/2014 0:00,40,8/29/1954 0:00,8/29/2014,,,,22,21,64,0,0,0,0,0,3994420,507.77,No,No,No,No,No,No,Yes,No,No,No,"(30.2469873500171, -97.775516514267196)"
Lakeline Station,"Foundation Communities, Inc","Foundation Communities, Inc.",13635 Rutledge Spur,78717,6,Very High,Neither,128,128,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,9/9/2014 0:00,40,9/9/1954 0:00,1/29/2014,,,,13,0,64,51,0,0,0,0,2975000,889.11,No,No,No,No,No,No,Yes,No,No,No,"(30.476253081060399, -97.780344989232603)"
Live Oak Trails,"Foundation Communities, Inc.","Foundation Communities, Inc.",8500 US Highway 71 W,78735,8,Moderate,1/2 Mile,58,58,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,8/13/2014 0:00,40,8/13/1954 0:00,1/29/2014,,,,12,12,34,0,0,0,0,0,1750000,855.25,No,No,No,No,No,No,Yes,No,No,No,"(30.248559381155399, -97.8900821644269)"
Parkwest Condos,Frameworks Community Development Corporation,Frameworks Community Development Corporation,10616 Mellow Meadows Drive,78750,6,Moderate,Neither,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,12/30/2014 0:00,99,12/23/2012 0:00,,,,,0,0,1,0,0,0,0,0,82583,0,No,No,No,No,No,No,No,No,No,No,"(30.4604230013685, -97.801727908379902)"
Edgecreek Condos,Frameworks Community Development Corporation,Frameworks Community Development Corporation,12166 Metric Boulevard,78758,7,Moderate,Neither,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,12/30/2014 0:00,99,7/31/2012 0:00,,,,,0,0,2,0,0,0,0,0,82583,0,No,No,No,No,No,No,No,No,No,No,"(30.406791193756899, -97.697861726688302)"
4904 West Wind Trail,Frameworks Community Development Corporation,Frameworks Community Development Corporation,4904 West Wind Trail,78745,5,Moderate,1/4 Mile,4,3,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,11/14/2014 0:00,99,11/14/2013 0:00,,,,,0,0,3,0,0,0,0,1,187000,212.62,No,No,No,No,No,No,No,No,No,No,"(30.227441125895599, -97.8033852378787)"
4810 West Wind Trail,Frameworks Community Development Corporation,Frameworks Community Development Corporation,4810 West Wind Trail,78745,5,Moderate,1/4 Mile,4,4,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,12/30/2014 0:00,99,2/28/2014 0:00,,,,,0,0,4,0,0,0,0,0,135185,514.95,No,No,No,No,No,No,No,No,No,No,"(30.2279505045048, -97.802996584841793)"
1615 East 7th Street,"1615 East 7th Street, LLC","1615 East 7th Street, LLC",1615 E 7th Street,78702,3,High,1/4 Mile,19,5,Multifamily,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,40,,10/13/2014,,,,0,0,0,0,0,5,0,14,0,0,No,No,No,No,No,No,No,Yes,No,No,"(30.263268452405001, -97.725022050227906)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/2/2016 0:00,15,9/2/2031 0:00,1/27/2015,,,,0,0,0,0,0,1,0,0,77167.64,1496.03,No,No,No,No,No,No,Yes,No,No,No,"(30.2384589957936, -97.698097745188903)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/30/2016 0:00,15,9/30/2031 0:00,5/16/2012,,,,0,0,0,0,0,1,0,0,77167.64,1496.03,No,No,No,No,No,No,Yes,No,No,No,"(30.2383681507029, -97.698157874215099)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/23/2016 0:00,15,9/23/2031 0:00,5/16/2012,,,,0,0,0,0,0,1,0,0,77167.64,1496.03,No,No,No,No,No,No,Yes,No,No,No,"(30.238269543584501, -97.698229744923694)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,5/23/2016 0:00,10,5/23/2026 0:00,5/16/2012,,,,0,0,0,0,0,1,0,0,77167.64,1496.03,No,No,No,No,No,No,Yes,No,No,No,"(30.2380979283298, -97.697867812532195)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Certified / Loan Executed,10/25/2016 0:00,15,10/25/2031 0:00,5/16/2012,,,,0,0,0,0,0,1,0,0,771067.64,149.72,No,No,No,No,No,No,Yes,No,No,No,"(30.238166231384799, -97.698269434574897)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/2/2016 0:00,10,9/2/2026 0:00,5/16/2012,,,,0,0,0,0,0,1,0,0,77167.64,1496.03,No,No,No,No,No,No,Yes,No,No,No,"(30.2379893350858, -97.697942236510002)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Certified / Loan Executed,9/16/2016 0:00,15,9/16/2031 0:00,5/16/2012,,,,0,0,0,0,0,1,0,0,77167.64,1496.03,No,No,No,No,No,No,Yes,No,No,No,"(30.238089926832998, -97.698354538784301)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/26/2016 0:00,15,8/26/2031 0:00,5/16/2012,,,,0,0,0,0,0,1,0,0,77167.64,1496.03,No,No,No,No,No,No,Yes,No,No,No,"(30.237883298281101, -97.6980419944571)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Certified / Loan Executed,10/25/2016 0:00,15,10/25/2031 0:00,5/16/2012,,,,0,0,0,0,0,1,0,0,77167.64,1496.03,No,No,No,No,No,No,Yes,No,No,No,"(30.238005879604, -97.698453664727793)"
4902 West Wind Trail,Frameworks Community Development Corporation,Frameworks Community Development Corporation,4902 West Wind Trail,78745,5,Moderate,1/4 Mile,4,1,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,4/13/2015 0:00,99,4/13/2014 0:00,,,,,0,0,1,0,0,0,0,3,154002,0,No,No,No,No,No,No,No,No,No,No,"(30.2276424167489, -97.803272281604293)"
The Works at Pleasant Valley,Lifeworks Affordable Housing Corporation,Lifeworks Affordable Housing Corporation,2800 Lyons Road,78702,3,Moderate,Neither,45,45,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,1/17/2014 0:00,99,1/17/2013 0:00,9/30/2010,1/17/2014,,,15,0,30,0,0,0,0,0,850000,581.95,No,No,No,No,No,No,Yes,No,No,No,"(30.263973435800999, -97.707400092268401)"
Lucero Apartments (formerly Oak Creek Village),"2013 Travis Oak Creek, LP","Eureka Holdings, LLC",2324 Wilson Street,78704,9,Moderate,1/4 Mile,173,173,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,11/16/2009 0:00,40,11/16/2049 0:00,1/16/2013,,,,18,0,70,85,0,0,0,0,2000000,855.21,No,No,No,No,No,No,Yes,No,No,No,"(30.242222473744398, -97.756260797953104)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78617,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/17/2011 0:00,36,6/17/2047 0:00,,,,,0,0,0,0,0,1,0,0,16500,0,No,No,No,No,No,No,No,No,No,No,"(30.172165767266002, -97.6185709061062)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78617,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/1/2010 0:00,30,7/1/2010 0:00,,,,,0,0,0,0,0,1,0,0,105300,0,No,No,No,No,No,No,No,No,No,No,"(30.170913627219399, -97.619551658443996)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78754,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/28/2011 0:00,36,3/28/2047 0:00,,,,,0,0,0,0,0,1,0,0,112514,0,No,No,No,No,No,No,No,No,No,No,"(30.3744499621877, -97.649422871538107)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78617,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/5/2011 0:00,31,12/5/2042 0:00,,,,,0,0,0,0,0,1,0,0,70692,0,No,No,No,No,No,No,No,No,No,No,"(30.173751796257399, -97.617857126426102)"
Westgate Grove (aka Westgate I Subdivision),"Westgate Momark, LLC",HomeBase Texas,2903 Cameron Loop,78745,5,High,1/4 Mile,50,50,Single Family,A&D,Ownership,Building Permit Issued / Project Underway,,,,3/17/2009,,,,0,0,0,0,0,50,0,0,1815300,285.98,No,No,No,No,No,No,Yes,No,No,No,"(30.193496131243901, -97.829342234682002)"
"Westgate Grove, Phase II (aka Westgate II Subdivision)","Westgate Momark, LLC",HomeBase Texas,8701 Westgate Boulevard,78745,5,High,1/4 Mile,88,88,Single Family,A&D,Ownership,Project Certified / Loan Executed,,1,,2/24/2011,,,,0,0,0,0,0,88,0,0,1250000,388.18,No,No,No,No,No,No,Yes,No,No,No,"(30.1923715395199, -97.832268090161094)"
The Chicon (aka 'Chicon Corridor'),Chestnut Neighborhood Revitalization Corporation,Chestnut Neighborhood Revitalization Corporation,1212 Chicon Street,78702,1,Very Low,1/4 Mile,15,12,Single Family,A&D,Ownership,Building Permit Issued / Project Underway,,5,,9/26/2011,,,,0,0,0,0,0,12,0,3,3962717,137.19,No,No,No,No,No,No,Yes,No,No,Yes,"(30.274369619321501, -97.720225872284402)"
Chestnut Neighborhood Revitalization Corporation - SF,Undisclosed,Chestnut Neighborhood Revitalization Corporation,Undisclosed,78702,1,Low,Neither,1,1,Single Family,A&D,Ownership,Affordability Period Expired,6/30/2005 0:00,1,6/30/2006 0:00,,,,,0,0,0,0,0,1,0,0,21017,0,No,No,No,No,No,No,Yes,No,No,No,"(30.279979908797198, -97.715975392062603)"
Guadalupe Neighborhood Development Corporation - SF,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,Undisclosed,78702,1,Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/19/2013 0:00,99,8/19/2012 0:00,4/10/2009,6/20/2014,,,0,0,0,0,0,1,0,0,245000,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2669432028902, -97.729739177471203)"
Guadalupe Neighborhood Development Corporation - SF,Undisclosed,Guadalupe Neighborhood Development Corporation,Undisclosed,78702,3,Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/18/2012 0:00,99,7/18/2011 0:00,,,,,0,0,0,0,0,1,0,0,122500,50.61,No,No,No,No,No,No,Yes,No,No,No,"(30.258337361042202, -97.731122603368604)"
Guadalupe-Saldana Subdivision,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1126 Tillery Street,78702,3,Low,Neither,35,35,Single Family,A&D,Ownership,Project Certified / Loan Executed,1/30/2009 0:00,101,1/30/2010 0:00,5/29/2008,,,,0,0,35,0,0,0,0,0,1000000,423.5,No,No,No,No,No,No,Yes,No,No,No,"(30.268311419762199, -97.7013801637829)"
Meadow Lake Subdivision,Austin Habitat for Humanity,Austin Habitat for Humanity,7051 Meadow Lake Boulevard,78744,2,Low,Neither,60,60,Single Family,A&D,Ownership,Project Certified / Loan Executed,,,,,,,,0,0,0,0,0,60,0,0,942896,944.37,No,No,No,No,No,No,Yes,No,No,No,"(30.1771080797823, -97.755079989286898)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/22/2010 0:00,10,6/22/2020 0:00,,,,,0,0,0,0,0,1,0,0,914470,0,No,No,No,No,No,No,Yes,No,No,No,"(30.312094660116301, -97.681496484287806)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/22/2009 0:00,10,12/22/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.312194702840898, -97.682385302669203)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/30/2009 0:00,10,9/30/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311880379676001, -97.682680125927106)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/18/2009 0:00,10,12/18/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.3118169199542, -97.682497501557094)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,4/14/2010 0:00,10,4/14/2020 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311773218863799, -97.682347334347995)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/14/2009 0:00,10,8/14/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.3121164666005, -97.682181083942893)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,5/5/2010 0:00,10,5/5/2020 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.3117389137945, -97.682188698819701)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/15/2010 0:00,10,10/15/2020 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311323593986799, -97.6821362655283)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/2/2013 0:00,10,10/2/2023 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311735273192099, -97.682012673467398)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/16/2009 0:00,10,9/16/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311236306717198, -97.681965201986998)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,6,6,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/19/2013 0:00,10,6/19/2023 0:00,,,,,0,0,0,0,0,6,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.312358572730801, -97.682072456648896)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,4/8/2010 0:00,10,4/8/2020 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.3109075017096, -97.682103666260502)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/23/2009 0:00,10,12/23/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311736415954101, -97.681836548387906)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/15/2013 0:00,10,8/15/2023 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311313637160598, -97.681770563810701)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/3/2011 0:00,10,8/3/2021 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.312284773209399, -97.681893028312402)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/22/2009 0:00,10,12/22/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.3108995904811, -97.681952548975303)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/30/2009 0:00,10,9/30/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311787755392999, -97.681664528045403)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,5/14/2013 0:00,10,5/14/2023 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.312223419416799, -97.681696587911404)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/7/2010 0:00,10,6/7/2020 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311910985863499, -97.681504289723193)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,4/13/2010 0:00,10,4/12/2020 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311345813136299, -97.681593555005605)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/30/2013 0:00,10,7/30/2023 0:00,,1/13/2013,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311395045226099, -97.681435350901097)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/27/2011 0:00,10,12/27/2021 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311444589077698, -97.681290895836199)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/20/2013 0:00,10,3/20/2023 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311510590659299, -97.681134988400601)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/3/2011 0:00,10,8/3/2021 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311046206195599, -97.680913870500206)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/16/2013 0:00,10,9/16/2023 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311547976816801, -97.680979867273606)"
